Date,#Coronavirus,#covid,#ncov19,#ncov2019,#virus
2020-01-22,7468,0,0,0,5662
2020-01-23,41496,0,0,0,29297
2020-01-24,82183,0,0,0,56540
2020-01-25,122925,0,0,0,92634
2020-01-26,165510,0,0,0,134705
2020-01-27,207388,0,0,0,172477
2020-01-28,250895,0,0,0,213722
2020-01-29,293590,0,0,0,256281
2020-01-30,337590,0,0,0,299659
2020-01-31,381459,0,0,0,343418
2020-02-01,426157,0,0,0,387503
2020-02-02,471354,0,0,0,432124
2020-02-03,516850,0,0,0,476125
2020-02-04,562217,0,0,0,518339
2020-02-05,607442,0,0,0,556520
2020-02-06,652898,0,0,0,592976
2020-02-07,698576,0,0,0,628654
2020-02-08,744404,0,0,0,663230
2020-02-09,790401,0,0,0,701789
2020-02-10,836404,0,0,0,741912
2020-02-11,882804,0,0,0,783904
2020-02-12,930201,0,0,0,821331
2020-02-13,976994,0,0,0,857538
2020-02-14,1023918,0,0,0,894033
2020-02-15,1070614,0,0,0,925730
2020-02-16,1117553,0,0,0,958442
2020-02-17,1165831,0,0,0,990318
2020-02-18,1212931,0,0,0,1023513
2020-02-19,1246927,0,0,0,1044791
2020-02-20,1274726,0,0,0,1059953
2020-02-21,1361023,0,0,0,1125735
2020-02-22,1446591,0,0,0,1195058
2020-02-23,1532870,0,0,0,1273292
2020-02-24,1618364,0,0,0,1358463
2020-02-25,1704764,0,0,0,1444663
2020-02-26,1790263,0,0,6,1530162
2020-02-27,1870662,0,999,1425,1610560
2020-02-28,1948253,0,2084,3544,1688100
2020-02-29,2027950,0,3035,5033,1767796
2020-03-01,2106649,0,3896,6241,1846380
2020-03-02,2186148,0,6509,8235,1925875
2020-03-03,2263248,0,7280,10401,2002902
2020-03-04,2341546,0,7968,12934,2081196
2020-03-05,2420644,0,8802,15128,2160289
2020-03-06,2500314,0,9372,17354,2240054
2020-03-07,2578988,31293,10060,19004,2318686
2020-03-08,2656281,108476,11363,20997,2395980
2020-03-09,2735081,187376,13580,22989,2474809
2020-03-10,2832178,284374,17014,25542,2571863
2020-03-11,2926076,378065,25949,28028,2665762
2020-03-12,3017174,469155,38090,31154,2756862
2020-03-13,3106272,558250,43162,34907,2845961
2020-03-14,3199272,651249,44935,37604,2938961
2020-03-15,3296472,748445,46677,40809,3036161
2020-03-16,3393662,845541,55733,44273,3133360
2020-03-17,4256517,1702039,63099,48477,3722352
2020-03-18,4550277,1986010,64554,50534,4006912
2020-03-19,5253737,2689137,66201,53112,4710400
2020-03-20,5962778,3397007,68048,55833,5419153
2020-03-21,6662925,4097446,69773,58520,6118771
2020-03-22,7380492,4815401,71121,60628,6837263
2020-03-23,8070046,5505159,72173,62355,7526918
2020-03-24,8755724,6189726,73140,63700,8211485
2020-03-25,9010692,6444693,73300,64742,8466381
2020-03-26,9727138,7160139,73790,66537,9182511
2020-03-27,10291278,7723311,74478,67724,9747115
2020-03-28,10982172,8414267,75141,68746,10437772
2020-03-29,11696637,9127696,75585,69634,11152193
2020-03-30,12080626,9511655,75989,70003,11536152
2020-03-31,12436301,9866222,76334,70700,11901827
2020-04-01,12757266,10187081,76585,71453,12223040
2020-04-02,13383705,10813023,77147,72237,12849138
2020-04-03,14001450,11430051,77657,73308,13464667
2020-04-04,14694412,12123388,78047,73786,14133967
2020-04-05,15395458,12824305,78373,74465,14822881
2020-04-06,16087930,13516217,78602,75924,15511116
2020-04-07,16798852,14227262,78856,78004,16210212
2020-04-08,17197729,14626710,79134,79154,16606032
2020-04-09,17512719,14941608,79359,79752,16920884
2020-04-10,18229385,15657583,79558,80360,17620089
2020-04-11,18941617,16368799,79744,81113,18293374
2020-04-12,19659228,17085877,79905,81665,18962679
2020-04-13,20373094,17799752,79996,82505,19644966
